strategy_id,account,firm,drawdown_type,risk_model,daily_rules,pass_probability,blowup_probability,timeout_probability,consistency_breach_rate,median_days_to_pass,median_end_balance,first_payout_probability,blowup_before_payout_probability,median_days_to_payout,prop_score,cert_ok,cert_fails,main_failure_reason
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,stop_l2,0.44,0.0,0.56,0.5909,19.0,51488.71,0.87,0.0,13.0,0.797,False,consistency_breach=59.09% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,reduce_after_loss,stop_w1,0.52,0.19,0.29,0.2692,24.5,53022.85,0.9,0.09,8.0,0.795,False,blowup_prob=19.00% > 15%; consistency_breach=26.92% > 15%,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.5,topstep_50k,Topstep,eod_trailing,micro_1,stop_w1,0.6,0.3,0.1,0.0167,29.5,53094.46,0.81,0.19,10.0,0.792,False,blowup_prob=30.00% > 15%,trailing_dd_eod
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,max2,0.41,0.0,0.59,0.3171,28.0,51670.78,0.84,0.0,13.0,0.791,False,consistency_breach=31.71% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,stop_w1,0.43,0.12,0.45,0.1628,28.0,52040.53,0.93,0.05,10.0,0.79,False,consistency_breach=16.28% > 15%,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,none,0.49,0.12,0.39,0.4082,23.0,52285.03,0.88,0.05,10.0,0.786,False,consistency_breach=40.82% > 15%,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,topstep_50k,Topstep,eod_trailing,pct_dd_buffer_2pct,stop_w1,0.56,0.3,0.14,0.0,34.0,53038.76,0.87,0.13,12.0,0.785,False,blowup_prob=30.00% > 15%; median_days=34.0 > 30,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,max2,0.4,0.0,0.6,0.375,24.0,51956.18,0.86,0.0,14.0,0.785,False,consistency_breach=37.50% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,stop_l2,0.42,0.0,0.58,0.5952,18.5,50997.61,0.88,0.0,13.5,0.785,False,consistency_breach=59.52% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,none,0.49,0.12,0.39,0.4286,23.0,52339.03,0.88,0.05,10.0,0.783,False,consistency_breach=42.86% > 15%,daily_loss
